Month,Year,Stratum,V,N,Inc2,Rate2,Inc3,Rate3,IncT,RateT,IncNFARI,RateNFARI
10,2010,1,0,335.86,11.05,0.0329006,21.93,0.0652951,32.98,0.0981957,203.44,0.605729
10,2010,1,1,264.14,4.33,0.0163928,8.71,0.0329749,13.04,0.0493678,113.39,0.42928
10,2010,2,0,295.33,28.56,0.0967054,58.42,0.197813,86.98,0.294518,302.64,1.02475
10,2010,2,1,104.67,5.45,0.0520684,11.3,0.107958,16.75,0.160027,84.82,0.810356
11,2010,1,0,231.4,6.86,0.0296456,13.64,0.0589455,20.5,0.0885912,258.93,1.11897
11,2010,1,1,368.6,5.05,0.0137005,11.15,0.0302496,16.2,0.0439501,293.97,0.797531
11,2010,2,0,270.63,19.19,0.0709086,38.48,0.142187,57.67,0.213095,440.46,1.62754
11,2010,2,1,129.37,5.61,0.043364,11.41,0.0881966,17.02,0.131561,174.26,1.34699
12,2010,1,0,180.17,10.48,0.0581673,21.85,0.121274,32.33,0.179442,252.15,1.39951
12,2010,1,1,419.83,12.81,0.0305124,26.19,0.0623824,39,0.0928947,421.61,1.00424
12,2010,2,0,259.19,26.64,0.102782,55.17,0.212855,81.81,0.315637,470.81,1.81647
12,2010,2,1,140.81,13.11,0.0931042,28.04,0.199134,41.15,0.292238,214.64,1.52432
